Success Rate,Difficulty,Success Rate x Difficulty
0.69,0.04,0.0276
0.82,0.15,0.12299999999999998
0.65,0.23000000000000007,0.14950000000000005
0.54,0.23000000000000007,0.12420000000000005
0.58,0.23000000000000007,0.13340000000000002
0.68,0.23000000000000007,0.15640000000000007
0.46,0.26000000000000006,0.11960000000000004
0.39,0.26000000000000006,0.10140000000000003
0.56,0.2700000000000001,0.15120000000000006
0.44,0.2700000000000001,0.11880000000000003
0.38,0.2700000000000001,0.10260000000000002
0.39,0.2700000000000001,0.10530000000000003
0.38,0.2700000000000001,0.10260000000000002
0.38,0.26000000000000006,0.09880000000000003
0.53,0.26000000000000006,0.13780000000000003
0.53,0.26000000000000006,0.13780000000000003
0.51,0.26000000000000006,0.13260000000000002
0.39,0.26000000000000006,0.10140000000000003
0.49,0.26000000000000006,0.12740000000000004
0.51,0.26000000000000006,0.13260000000000002
0.47,0.25000000000000006,0.11750000000000002
0.5,0.25000000000000006,0.12500000000000003
0.51,0.25000000000000006,0.12750000000000003
0.54,0.25000000000000006,0.13500000000000004
0.6,0.25000000000000006,0.15000000000000002
0.82,0.22000000000000006,0.18040000000000003
0.64,0.22000000000000006,0.14080000000000004
0.73,0.24000000000000007,0.17520000000000005
0.59,0.24000000000000007,0.14160000000000003
0.53,0.24000000000000007,0.12720000000000004
0.48,0.24000000000000007,0.11520000000000002
0.52,0.24000000000000007,0.12480000000000005
0.51,0.24000000000000007,0.12240000000000004
0.52,0.24000000000000007,0.12480000000000005
0.45,0.24000000000000007,0.10800000000000004
0.56,0.24000000000000007,0.13440000000000005
0.52,0.24000000000000007,0.12480000000000005
0.63,0.25000000000000006,0.15750000000000003
0.45,0.25000000000000006,0.11250000000000003
0.43,0.25000000000000006,0.10750000000000003
0.47,0.25000000000000006,0.11750000000000002
0.43,0.25000000000000006,0.10750000000000003
0.5,0.25000000000000006,0.12500000000000003
0.46,0.25000000000000006,0.11500000000000003
0.5,0.25000000000000006,0.12500000000000003
0.45,0.25000000000000006,0.11250000000000003
0.42,0.25000000000000006,0.10500000000000002
0.43,0.24000000000000005,0.10320000000000001
0.53,0.24000000000000005,0.12720000000000004
0.47,0.22000000000000003,0.1034
0.53,0.23000000000000004,0.12190000000000002
0.59,0.23000000000000004,0.13570000000000002
0.61,0.23000000000000004,0.1403
0.57,0.23000000000000004,0.13110000000000002
0.47,0.23000000000000004,0.10810000000000002
0.59,0.23000000000000004,0.13570000000000002
0.57,0.23000000000000004,0.13110000000000002
0.57,0.23000000000000004,0.13110000000000002
0.51,0.25000000000000006,0.12750000000000003
0.46,0.25000000000000006,0.11500000000000003
0.39,0.25000000000000006,0.09750000000000003
0.47,0.25000000000000006,0.11750000000000002
0.35,0.25000000000000006,0.08750000000000001
0.54,0.25000000000000006,0.13500000000000004
0.84,0.11999999999999998,0.10079999999999999
0.81,0.17,0.13770000000000002
0.61,0.18000000000000002,0.10980000000000001
0.69,0.18000000000000002,0.1242
0.69,0.21000000000000005,0.14490000000000003
0.57,0.21000000000000005,0.11970000000000001
0.63,0.21000000000000005,0.13230000000000003
0.6,0.22000000000000006,0.13200000000000003
0.56,0.22000000000000006,0.12320000000000005
0.57,0.22000000000000006,0.1254
0.63,0.22000000000000006,0.13860000000000003
0.67,0.24000000000000007,0.16080000000000005
0.55,0.25000000000000006,0.13750000000000004
0.55,0.25000000000000006,0.13750000000000004
0.5,0.25000000000000006,0.12500000000000003
0.48,0.25000000000000006,0.12000000000000002
0.46,0.25000000000000006,0.11500000000000003
0.5,0.25000000000000006,0.12500000000000003
0.48,0.25000000000000006,0.12000000000000002
0.58,0.25000000000000006,0.14500000000000002
0.55,0.25000000000000006,0.13750000000000004
0.63,0.25000000000000006,0.15750000000000003
0.51,0.25000000000000006,0.12750000000000003
0.46,0.25000000000000006,0.11500000000000003
0.49,0.25000000000000006,0.12250000000000003
0.48,0.25000000000000006,0.12000000000000002
0.53,0.25000000000000006,0.13250000000000003
0.49,0.26000000000000006,0.12740000000000004
0.45,0.26000000000000006,0.11700000000000003
0.58,0.26000000000000006,0.15080000000000002
0.49,0.26000000000000006,0.12740000000000004
0.45,0.26000000000000006,0.11700000000000003
0.45,0.26000000000000006,0.11700000000000003
0.53,0.26000000000000006,0.13780000000000003
0.49,0.26000000000000006,0.12740000000000004
0.5,0.26000000000000006,0.13000000000000003
0.49,0.26000000000000006,0.12740000000000004
0.48,0.26000000000000006,0.12480000000000002
0.43,0.26000000000000006,0.11180000000000002
0.4,0.26000000000000006,0.10400000000000004
0.47,0.26000000000000006,0.12220000000000002
0.61,0.26000000000000006,0.15860000000000005
0.55,0.26000000000000006,0.14300000000000004
0.46,0.26000000000000006,0.11960000000000004
0.42,0.26000000000000006,0.10920000000000002
0.38,0.26000000000000006,0.09880000000000003
0.41,0.26000000000000006,0.10660000000000001
0.47,0.26000000000000006,0.12220000000000002
0.49,0.26000000000000006,0.12740000000000004
0.48,0.26000000000000006,0.12480000000000002
0.48,0.26000000000000006,0.12480000000000002
0.57,0.26000000000000006,0.14820000000000003
0.49,0.26000000000000006,0.12740000000000004
0.44,0.26000000000000006,0.11440000000000003
0.48,0.26000000000000006,0.12480000000000002
0.46,0.26000000000000006,0.11960000000000004
0.53,0.26000000000000006,0.13780000000000003
0.52,0.26000000000000006,0.13520000000000004
0.48,0.24000000000000005,0.11520000000000002
0.65,0.24000000000000005,0.15600000000000003
0.55,0.24000000000000005,0.13200000000000003
0.61,0.24000000000000005,0.14640000000000003
0.59,0.24000000000000005,0.14160000000000003
0.69,0.25000000000000006,0.17250000000000001
0.61,0.25000000000000006,0.15250000000000002
0.59,0.25000000000000006,0.14750000000000002
0.88,0.20000000000000004,0.17600000000000005
0.76,0.20000000000000004,0.15200000000000002
0.73,0.23000000000000007,0.16790000000000005
0.6,0.26000000000000006,0.15600000000000003
0.57,0.26000000000000006,0.14820000000000003
0.5,0.26000000000000006,0.13000000000000003
0.5,0.26000000000000006,0.13000000000000003
0.59,0.26000000000000006,0.15340000000000004
0.51,0.26000000000000006,0.13260000000000002
0.45,0.26000000000000006,0.11700000000000003
0.41,0.26000000000000006,0.10660000000000001
0.55,0.26000000000000006,0.14300000000000004
0.43,0.26000000000000006,0.11180000000000002
0.43,0.26000000000000006,0.11180000000000002
0.57,0.26000000000000006,0.14820000000000003
0.48,0.2800000000000001,0.13440000000000005
0.39,0.2800000000000001,0.10920000000000003
0.49,0.2700000000000001,0.13230000000000003
0.86,0.19000000000000003,0.16340000000000002
